cnty_name,county,mcd,cousubfp,mcd_name,total,acadian,afghan,africa,albania,alsatian,arab,armenia,assyria,australia,austria,basque,belgium,brazil,bulgaria,canada,capeverde,carprus,celtic,croatia,cyprus,czech,czchslovk,denmark,eeurope,egypt,english,estonia,ethiopia,europe,finland,france,frcanada,germany,ghana,grbritain,greece,guyana,hungary,iceland,iran,iraq,ireland,israel,italy,jordan,kenya,latvia,lebanon,liberia,lithuania,luxemburg,macedonia,malta,morrocco,netherlnd,neurope,newzeal,nigeria,norway,ossafric,otharab,palestine,poland,portugal,romania,russia,safrica,saudi,scandnv,scotirish,scotland,senegal,serbia,sierrleon,slavic,slovak,slovenia,somalia,sovunion,subafrica,sudan,sweden,switzrlnd,syria,turkey,uganda,ukraine,wales,westindes,yugoslavia,zaire,zimbabwe,white,hispanic,black,amindan,asian,top_industry
Vanderburgh,163,020,40212,Knight,67491,0,0,56,7,19,286,30,0,19,40,0,55,9,7,43,0,0,0,19,0,85,21,69,9,12,5099,0,0,434,7,935,205,14026,0,331,172,2,48,0,0,0,4358,0,830,0,0,6,50,0,70,0,7,0,10,620,0,0,8,238,0,0,54,462,7,15,137,0,102,0,724,731,0,9,0,0,21,0,0,0,72,8,213,152,58,0,0,9,269,44,43,0,0,59363,856,5831,108,715,Clothing And Clothing Accessories Stores
Vanderburgh,163,030,59670,Pigeon,33682,0,0,110,0,0,33,0,0,0,0,0,6,9,0,6,0,0,0,0,0,16,13,6,0,0,1461,0,0,244,0,394,39,4774,0,63,8,0,0,4,0,0,1948,0,320,0,0,0,0,0,13,0,0,0,0,152,7,0,0,73,0,17,0,88,0,3,54,0,16,0,288,188,0,0,0,0,0,0,0,0,110,0,50,0,0,7,0,9,43,7,0,0,0,25487,419,7276,83,91,Clothing And Clothing Accessories Stores
Vanderburgh,163,010,11674,Center,32220,0,0,5,0,0,74,0,0,0,13,0,24,7,0,5,0,0,0,0,0,18,79,9,0,0,2461,0,0,158,8,555,41,9130,0,83,9,0,12,0,0,0,2508,0,527,0,0,0,9,0,9,0,0,0,0,224,15,0,0,75,0,0,38,199,0,0,92,0,27,0,458,418,0,0,0,0,0,0,0,0,5,0,134,40,0,21,0,15,110,0,6,0,0,31041,203,506,48,292,Clothing And Clothing Accessories Stores
Vanderburgh,163,040,77696,Union,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,26,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,4,17,0,0,Clothing And Clothing Accessories Stores
Vanderburgh,163,035,68472,Scott,5445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,11,37,0,371,0,0,39,0,61,9,1922,0,5,0,0,0,0,0,0,378,0,73,0,0,0,0,0,0,0,0,0,0,19,0,0,0,5,0,0,0,52,0,0,0,0,0,0,61,47,0,0,0,0,0,0,0,0,0,0,9,18,0,0,0,6,2,0,0,0,0,5371,30,26,2,13,Clothing And Clothing Accessories Stores
Vermillion,165,005,13798,Clinton,9544,0,0,0,0,0,0,0,0,0,2,0,18,0,0,4,0,0,0,21,0,15,21,10,0,0,878,0,0,79,27,140,19,1026,0,34,12,0,56,0,0,0,644,0,1038,0,0,0,0,0,41,0,7,0,0,110,0,0,0,4,0,0,0,74,3,8,9,0,0,3,153,193,0,73,0,21,0,11,0,0,0,0,55,10,0,0,0,0,86,0,5,0,0,9376,69,31,22,5,Motor Vehicle And Parts Dealers
Vermillion,165,020,33520,Highland,1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,252,0,0,20,1,32,0,190,0,2,2,0,0,0,0,0,63,0,19,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,26,0,0,0,0,0,0,0,0,0,0,24,21,0,0,0,0,6,0,0,0,0,1643,5,0,0,1,Motor Vehicle And Parts Dealers
Vermillion,165,010,21556,Eugene,1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,122,0,0,0,0,11,2,220,0,2,0,0,0,0,0,0,132,0,14,0,0,0,0,0,0,0,0,0,0,57,4,0,0,0,0,0,0,16,0,0,0,0,0,2,24,17,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1916,11,4,10,3,Motor Vehicle And Parts Dealers
Vermillion,165,025,78794,Vermillion,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,47,0,0,11,0,8,2,67,0,6,0,0,6,0,0,0,54,0,4,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,5,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,4,0,0,0,0,972,7,3,2,5,Motor Vehicle And Parts Dealers
Vermillion,165,015,32962,Helt,2651,0,0,0,0,0,0,0,0,0,10,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,166,0,0,19,7,20,0,350,0,6,0,0,10,0,0,0,165,0,142,0,0,0,0,0,2,0,0,0,0,30,0,0,0,2,0,0,0,10,0,0,0,0,0,0,59,24,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,53,0,0,0,0,2611,15,6,3,6,Motor Vehicle And Parts Dealers
Vigo,167,025,45018,Lost Creek,9907,0,0,0,0,7,127,41,0,2,30,0,7,0,0,19,0,0,2,10,0,43,17,24,0,0,1017,0,0,72,6,232,40,2139,0,61,6,0,18,0,29,0,736,0,336,0,0,0,0,0,53,0,0,0,0,100,0,0,0,48,0,0,6,148,0,6,49,0,6,18,69,101,0,6,0,3,10,3,0,0,0,0,71,28,115,0,0,8,99,0,11,0,0,9463,101,168,8,156,"Religious, Grantmaking, Civic, Professional, And Similar Organizations"
